name,discipline,region,vertical,years_experience,seniority,domain,communication,timezone,bandwidth,availability_status,available_in_weeks
Michael Fuentes,AI / ML,EMEA,E-commerce,9,30,37,25,44,65,Available,0
Jennifer Porter,DevOps,EMEA,Government,15,71,53,65,53,60,Fully booked,15
Dana Hopkins,Backend,APAC,SaaS,6,31,9,34,27,41,Available,0
Rachel Jones,Frontend,APAC,SaaS,18,99,18,89,18,31,Partially committed,1
Karen Morales DDS,DevOps,EMEA,Media,14,60,51,66,43,47,Available,0
Melissa Stephens,Backend,Americas,Telecom,16,54,56,45,96,63,Partially committed,2
Heather Woodard,AI / ML,EMEA,Government,8,33,68,40,60,35,Available,0
Margaret Miller,Frontend,APAC,E-commerce,14,64,49,49,23,94,Partially committed,2
Mary Kelly,Frontend,Americas,SaaS,9,38,53,24,70,10,Available,0
Amanda Terrell,Other,EMEA,Media,12,52,41,39,50,21,Available,0
Jennifer Goodwin,Other,Americas,Media,20,99,59,77,70,58,Partially committed,3
Jessica Smith,Frontend,EMEA,Logistics,12,48,68,54,49,66,Partially committed,4
Jorge Stone,Cloud,APAC,FinTech,17,73,20,64,49,50,Available,0
Laura Griffin,Backend,EMEA,Telecom,8,36,45,39,57,72,Available,0
Raymond Chapman,Cloud,Americas,Healthcare,9,49,71,63,76,67,Available,0
Haley Johnson,AI / ML,APAC,SaaS,22,85,60,69,35,49,Partially committed,3
Jason Nixon,Frontend,EMEA,E-commerce,10,37,65,54,46,64,Partially committed,1
Todd Thomas,Backend,EMEA,E-commerce,18,86,43,43,51,0,Available,0
Jesse Clark,Frontend,EMEA,Other,16,64,49,2,36,51,Available,0
Mr. Jeffrey Horton,Frontend,EMEA,Gaming,8,39,40,48,68,57,Available,0
Eric Patrick,Frontend,APAC,Logistics,12,63,14,36,26,92,Available,0
Samuel Wong,Networking,APAC,Logistics,14,69,30,57,20,36,Fully booked,12
Carly Riggs,Backend,EMEA,Logistics,10,62,27,52,61,53,Available,0
Christopher Moore,Data / Database,APAC,E-commerce,5,19,48,57,18,90,Available,0
Tina Hall,Networking,Americas,Telecom,4,35,47,48,72,70,Available,0
Cody Davidson,Data / Database,APAC,Media,8,45,44,50,24,57,Available,0
Allen Mendez,Data / Database,Americas,Other,7,49,49,61,70,75,Available,0
Kevin Price,Frontend,Americas,Other,14,62,44,61,75,38,Available,0
Christine Goodwin,DevOps,APAC,Government,12,54,61,45,26,90,Partially committed,1
Amy Garcia,Frontend,EMEA,Other,5,23,36,52,54,74,Available,0
Chelsea Nguyen,Networking,APAC,EdTech,11,58,44,38,15,22,Available,0
Dennis Huffman,Backend,Americas,FinTech,11,62,40,61,80,42,Available,0
Margaret Harper,Cloud,Americas,SaaS,15,61,57,34,88,11,Partially committed,4
Laurie Bailey,DevOps,APAC,Logistics,15,72,42,64,35,68,Available,0
Lisa Cervantes,DevOps,Americas,Telecom,15,67,62,61,77,64,Available,0
Elizabeth Mendez,Backend,APAC,E-commerce,11,59,28,78,26,45,Available,0
Cesar Wilson,Backend,APAC,Other,11,49,28,27,26,80,Available,0
Clayton Steele,AI / ML,EMEA,Media,6,17,47,25,41,60,Partially committed,2
Jennifer Taylor,Frontend,Americas,EdTech,14,59,46,66,77,99,Partially committed,1
Cody Reid,Backend,APAC,Other,11,54,37,57,36,31,Partially committed,4
Maria Cooke,DevOps,Americas,E-commerce,13,55,58,55,90,68,Available,0
Katherine Taylor,Networking,APAC,Media,5,24,27,24,32,53,Available,0
Jerry Brown,Backend,APAC,Telecom,6,28,35,31,1,46,Available,0
Adam Taylor,Cloud,EMEA,Telecom,15,71,68,78,47,49,Available,0
Tracey Wagner,DevOps,APAC,Media,11,49,64,49,33,63,Available,0
Michael Perry PhD,Frontend,EMEA,Gaming,15,64,69,62,72,55,Partially committed,3
Bradley Johnson DDS,DevOps,Americas,FinTech,9,51,37,49,82,69,Available,0
Donald Medina,Networking,EMEA,E-commerce,9,51,58,34,56,68,Available,0
Jim Newton,Other,EMEA,E-commerce,13,69,32,72,54,82,Available,0
Krista Wilson,Frontend,Americas,SaaS,6,40,24,52,69,34,Available,0
Reginald Morrow,Cloud,EMEA,Gaming,9,52,8,83,59,24,Available,0
Rodney Williams,Data / Database,EMEA,Other,9,41,65,31,40,56,Available,0
Kimberly Fritz,Frontend,APAC,EdTech,7,41,27,57,27,42,Partially committed,3
Ronald Potter,DevOps,EMEA,Other,11,44,41,29,56,75,Partially committed,3
Zachary Cole,Frontend,APAC,Telecom,12,54,32,54,28,34,Available,0
Robert Gonzales,Backend,EMEA,Logistics,5,40,46,59,42,47,Available,0
Patricia Young PhD,Backend,Americas,Government,18,75,46,34,75,45,Available,0
Heather Page,Backend,Americas,Media,9,32,22,38,89,94,Partially committed,2
Carol Taylor,Data / Database,EMEA,E-commerce,8,46,46,40,56,99,Partially committed,2
Daniel Brown,Backend,APAC,Telecom,10,41,22,36,21,35,Available,0
Douglas Ryan,DevOps,EMEA,Government,16,79,37,70,44,7,Partially committed,4
Michael Roberts,Backend,APAC,FinTech,12,54,15,68,36,44,Available,0
Scott Duke,DevOps,EMEA,Telecom,13,71,26,58,55,51,Partially committed,1
Anna Estes,AI / ML,Americas,E-commerce,1,20,34,38,71,60,Available,0
Tamara Riddle,Backend,Americas,Telecom,12,55,16,54,80,53,Available,0
Beth Cline,Data / Database,APAC,Government,15,68,27,59,20,69,Partially committed,3
Michael Poole,DevOps,EMEA,FinTech,11,52,43,36,58,48,Available,0
Megan Burns,DevOps,APAC,EdTech,13,71,39,76,41,56,Fully booked,13
Debra Perry,Backend,Americas,Media,8,40,68,49,71,71,Available,0
Mark Beard,DevOps,APAC,Telecom,18,78,77,70,30,55,Available,0
Jose Ramirez,Frontend,EMEA,SaaS,21,96,43,62,56,61,Partially committed,2
Jackie Clements,Backend,APAC,Gaming,10,43,50,40,7,23,Available,0
Aaron Schroeder,DevOps,EMEA,Media,8,41,50,43,63,60,Available,0
Monica Ellis,Frontend,EMEA,Telecom,20,79,46,43,76,55,Available,0
Heather Brown,Data / Database,Americas,Media,16,82,28,42,83,47,Fully booked,6
Claudia Jordan,Cloud,EMEA,Telecom,10,40,42,36,69,46,Partially committed,2
Derrick Clayton,Cloud,EMEA,Healthcare,12,42,42,53,42,67,Available,0
Kenneth Knight,Frontend,EMEA,SaaS,11,44,37,38,48,59,Available,0
Mr. Michael Williams,Other,APAC,E-commerce,5,23,42,22,29,60,Available,0
Richard Stevens,DevOps,Americas,SaaS,6,32,27,29,73,53,Available,0
Scott Alexander,Backend,APAC,FinTech,9,30,24,34,28,54,Partially committed,1
Tyler Harris,Backend,APAC,Healthcare,5,35,37,37,38,43,Partially committed,3
Bonnie Santos,DevOps,Americas,SaaS,9,49,46,80,73,47,Available,0
Timothy Hill,AI / ML,APAC,Government,11,55,27,67,38,36,Available,0
Danielle Watson,Data / Database,APAC,SaaS,20,81,68,80,9,43,Fully booked,16
Carol Sanders,Cloud,EMEA,Gaming,7,30,14,56,49,67,Available,0
Michael Young,Backend,APAC,Telecom,14,70,38,46,26,69,Fully booked,6
Michele Smith,Backend,Americas,FinTech,10,46,38,31,73,56,Available,0
Casey Perez,Backend,APAC,EdTech,10,49,33,34,22,55,Partially committed,3
Alexandra Dominguez,Cloud,EMEA,E-commerce,13,63,37,75,69,56,Partially committed,1
Virginia Henderson,Backend,APAC,Telecom,8,28,66,31,40,80,Partially committed,4
Benjamin Reyes,Backend,Americas,Other,10,58,30,36,89,50,Available,0
Ashley Edwards,Backend,EMEA,EdTech,15,53,82,46,65,65,Available,0
Breanna Ayala,AI / ML,APAC,EdTech,15,60,54,52,22,62,Available,0
Brandi Haney,Cloud,Americas,Telecom,15,56,49,57,70,42,Partially committed,4
Joseph Smith,Backend,Americas,SaaS,21,99,62,78,74,61,Available,0
Jessica Bowen,AI / ML,APAC,Gaming,8,37,75,32,21,17,Partially committed,1
Brittany Jenkins,Frontend,APAC,Logistics,6,39,23,54,22,79,Partially committed,1
Shannon Miller,Frontend,EMEA,Healthcare,7,38,23,35,60,34,Available,0
Paul Lawrence,Frontend,APAC,Logistics,10,39,31,42,31,55,Partially committed,4
Victor Edwards,Frontend,EMEA,E-commerce,11,37,43,53,53,75,Partially committed,1
Donald Miller,Frontend,APAC,Media,14,74,23,53,27,43,Available,0
Lindsay Lawson,Cloud,Americas,Media,17,78,50,56,93,55,Available,0
Melissa Abbott,DevOps,Americas,Media,8,39,64,53,69,75,Partially committed,3
Elizabeth Holmes,DevOps,Americas,Government,5,33,38,30,90,96,Partially committed,4
Nicole Phillips,Cloud,Americas,Healthcare,14,59,43,49,61,54,Partially committed,4
Steven Blevins,Cloud,EMEA,Telecom,7,39,30,52,49,62,Partially committed,4
Brian Porter MD,Backend,Americas,EdTech,14,63,59,85,97,54,Available,0
Vanessa Hatfield,DevOps,EMEA,Logistics,11,54,32,61,58,51,Partially committed,3
Bonnie Valencia,DevOps,EMEA,Other,3,20,59,41,50,35,Available,0
Holly Vega,Other,EMEA,Telecom,18,81,79,73,64,28,Available,0
Tiffany Townsend,Backend,APAC,SaaS,19,86,56,53,34,49,Available,0
Austin Baker,Frontend,EMEA,Healthcare,8,38,39,45,61,65,Available,0
Antonio Mccormick,Cloud,APAC,SaaS,8,42,54,46,26,83,Available,0
Lori Mason,Cloud,EMEA,Government,13,56,61,57,65,51,Available,0
Michael Miller,Backend,APAC,Other,16,57,38,55,22,85,Available,0
Lisa Ramirez,DevOps,APAC,E-commerce,14,63,40,62,21,29,Available,0
Jorge Harris,Frontend,Americas,Healthcare,22,90,38,66,99,53,Partially committed,1
Kimberly Myers,Other,EMEA,Healthcare,8,46,45,49,50,51,Available,0
Sandra Becker,Frontend,APAC,EdTech,8,34,49,25,8,33,Available,0
Michael Blair,Frontend,Americas,Gaming,3,22,14,32,93,27,Partially committed,2
Amy Miller,Frontend,EMEA,Media,5,35,30,62,69,50,Available,0
Jesse Lynch,Data / Database,Americas,EdTech,9,49,23,54,80,49,Available,0
Patrick Yang,Frontend,APAC,Logistics,21,86,43,68,7,32,Fully booked,9
Michael Miles,Cloud,Americas,Logistics,11,40,51,71,81,73,Available,0
Troy Mills,AI / ML,Americas,Logistics,13,54,35,33,99,47,Available,0
Michelle Jackson,Backend,EMEA,Other,8,50,35,34,57,36,Partially committed,2
Richard Adams,DevOps,APAC,Other,16,74,26,86,36,47,Partially committed,3
Patricia Johnson,Frontend,EMEA,Logistics,23,99,60,75,63,34,Partially committed,3
Denise Brown,Backend,EMEA,EdTech,9,39,40,41,65,91,Available,0
Laura Jones,Backend,Americas,FinTech,5,40,26,28,99,51,Partially committed,1
Ian Porter,Backend,APAC,E-commerce,14,71,44,67,39,34,Partially committed,2
Holly Scott,DevOps,EMEA,FinTech,14,64,49,64,54,86,Available,0
Kenneth Sharp,Frontend,APAC,EdTech,20,87,43,53,17,64,Available,0
Jordan Williams,AI / ML,EMEA,Healthcare,9,62,21,54,59,56,Partially committed,4
Dana Ruiz,Cloud,Americas,Logistics,9,43,66,42,80,41,Available,0
Chris Velazquez,Cloud,EMEA,Media,14,62,38,59,62,69,Available,0
Kristen Sloan,AI / ML,EMEA,Other,18,72,50,45,46,23,Available,0
Jennifer Morris,Other,EMEA,FinTech,16,66,64,76,52,67,Available,0
Nathan Nelson,DevOps,APAC,Media,15,60,97,68,28,59,Available,0
Jake Shaw,Data / Database,Americas,Telecom,14,71,30,56,73,72,Available,0
Cassie Brock,Backend,APAC,E-commerce,12,73,51,59,28,4,Available,0
Dr. Andrea Marshall,Cloud,EMEA,Logistics,16,78,40,62,63,32,Fully booked,11
Ryan Murphy,DevOps,Americas,SaaS,16,63,42,46,99,34,Available,0
Aimee Gonzalez,AI / ML,APAC,FinTech,13,47,36,42,21,34,Available,0
Elizabeth Dean,Backend,EMEA,Logistics,13,53,30,48,64,64,Partially committed,3
Kevin Snyder,Backend,Americas,FinTech,17,74,50,85,62,46,Partially committed,2
Christie Mccullough,Backend,Americas,Other,8,34,19,55,82,41,Available,0
Danielle Smith,Networking,EMEA,SaaS,12,57,57,67,56,33,Available,0
David Reed,Frontend,Americas,Telecom,9,42,42,51,90,38,Available,0
Sherry Tapia,Data / Database,Americas,Gaming,15,51,53,35,77,73,Partially committed,4
Matthew Sweeney,Data / Database,APAC,Logistics,15,76,41,62,30,50,Available,0
Ashley Moreno,Frontend,Americas,Logistics,15,54,43,65,93,72,Available,0
Johnathan Brown,Data / Database,APAC,E-commerce,11,51,47,33,17,99,Partially committed,4
Michelle Davis DVM,Data / Database,APAC,Other,8,23,23,45,8,60,Available,0
Kelly Haynes,Frontend,APAC,EdTech,12,65,39,90,39,25,Partially committed,1
William Miller,Data / Database,APAC,FinTech,15,63,36,71,18,51,Partially committed,3
Casey Wilkins,Other,Americas,SaaS,19,93,41,91,87,86,Available,0
Keith Graham,Other,Americas,Government,7,44,9,50,99,79,Available,0
Cynthia Green,DevOps,APAC,SaaS,13,54,64,66,36,42,Available,0
Robert Haynes,Data / Database,Americas,Healthcare,14,55,37,42,72,49,Partially committed,4
Emily Nelson,Backend,APAC,Media,16,82,66,77,13,66,Partially committed,3
Dale Chan,Other,APAC,FinTech,8,48,54,58,20,66,Partially committed,2
Brittney Martin,Backend,APAC,E-commerce,12,56,27,57,30,71,Available,0
Jason Herrera,Data / Database,EMEA,Telecom,14,62,31,75,53,49,Partially committed,2
Christine Parker,Frontend,Americas,Government,13,54,81,44,96,63,Available,0
Bryan Moore,Backend,Americas,Media,11,41,68,43,89,51,Available,0
Samantha Terry,Frontend,APAC,Healthcare,12,54,44,53,21,83,Available,0
Russell Murphy,Cloud,Americas,Telecom,20,71,57,46,90,21,Partially committed,3
David Kelly,DevOps,APAC,Healthcare,7,29,30,43,43,29,Partially committed,4
Megan Green,DevOps,Americas,Logistics,11,53,49,27,79,41,Available,0
Amanda Sullivan MD,Backend,APAC,FinTech,5,36,26,58,33,45,Partially committed,4
Danielle Murray,Networking,APAC,Gaming,16,74,21,63,19,21,Available,0
Brenda Smith,Frontend,EMEA,Logistics,4,20,16,27,54,27,Available,0
Vickie Anderson,Backend,APAC,E-commerce,11,39,43,33,19,79,Available,0
Jacqueline Mccoy,Cloud,EMEA,SaaS,14,58,31,50,67,51,Partially committed,2
Lauren Green,AI / ML,Americas,Gaming,16,81,48,75,77,45,Available,0
Alison Brown,Backend,Americas,E-commerce,11,49,28,57,86,57,Available,0
Jill Anderson,DevOps,EMEA,Media,10,39,31,35,61,90,Partially committed,4
Sandra Rivera,DevOps,Americas,E-commerce,23,88,69,57,99,51,Fully booked,4
Joel Jackson,AI / ML,EMEA,EdTech,6,21,41,45,52,59,Partially committed,4
Samantha Foster,Frontend,Americas,Logistics,3,6,33,18,74,51,Available,0
Michael Thompson,Data / Database,EMEA,FinTech,13,59,58,55,54,66,Partially committed,2
Cody Ramirez,Backend,EMEA,Healthcare,10,40,48,47,46,56,Available,0
Amanda Harvey,Frontend,APAC,SaaS,9,30,61,44,23,93,Available,0
Edward Jenkins,Frontend,Americas,Gaming,12,64,37,69,89,50,Available,0
Amy Ramirez,Other,APAC,Other,11,55,38,35,21,75,Partially committed,1
Curtis Wilkerson,Backend,EMEA,Government,7,39,20,18,61,44,Available,0
Lydia Pham,AI / ML,APAC,Other,6,24,31,29,34,46,Available,0
Virginia Casey,Backend,EMEA,SaaS,17,67,64,84,57,16,Partially committed,2
Joshua Washington,AI / ML,Americas,SaaS,13,63,64,85,89,69,Available,0
Kathryn Price,Cloud,Americas,Telecom,6,48,51,75,79,56,Available,0
Francis Robinson,Frontend,Americas,SaaS,18,87,27,66,62,62,Available,0
Paula Brown,DevOps,EMEA,SaaS,8,29,55,14,56,94,Partially committed,3
Kendra Wang DVM,Backend,APAC,SaaS,5,19,11,2,29,45,Available,0
Ariel Sandoval,Backend,Americas,Healthcare,9,36,53,34,78,38,Partially committed,1
Robert Stark,Data / Database,EMEA,EdTech,10,49,37,47,61,40,Partially committed,3
Zachary Robinson,Data / Database,APAC,SaaS,10,55,51,71,36,13,Partially committed,1
Rebecca Kelly,Cloud,EMEA,Gaming,11,45,25,60,57,53,Available,0
Sarah Thompson,Networking,EMEA,EdTech,11,57,60,57,56,72,Partially committed,1
Renee Wolfe,Backend,Americas,SaaS,10,25,21,25,94,61,Available,0
Alyssa Haynes,AI / ML,EMEA,Gaming,19,79,43,51,44,19,Available,0
Kristy Hart,AI / ML,EMEA,Gaming,10,48,28,53,52,49,Partially committed,2
William Keith,Frontend,APAC,Media,15,72,23,71,38,54,Fully booked,7
Eric Henry Jr.,Frontend,Americas,Logistics,12,57,46,59,87,74,Available,0
Daniel Fox,Data / Database,EMEA,E-commerce,13,59,70,40,53,70,Available,0
Thomas Harris,DevOps,EMEA,Government,16,61,86,65,59,47,Partially committed,2
Mitchell Sellers,Backend,APAC,Other,13,59,48,60,23,47,Partially committed,3
Erica Johnson,Backend,EMEA,E-commerce,13,63,61,41,57,65,Available,0
Sylvia Schroeder,Cloud,EMEA,Telecom,21,77,58,52,62,39,Partially committed,2
Shannon Yu,DevOps,EMEA,FinTech,12,54,51,62,68,72,Available,0
Tom Foster,Frontend,EMEA,Government,16,64,44,54,62,40,Partially committed,1
Eric Taylor,AI / ML,EMEA,EdTech,9,48,44,71,69,87,Available,0
Travis Conner,Cloud,APAC,Government,18,79,59,71,14,55,Partially committed,2
Marie Thompson,Backend,EMEA,E-commerce,9,36,32,36,33,19,Partially committed,3
Melissa Mcfarland,Cloud,EMEA,Gaming,15,86,47,68,33,62,Fully booked,16
Courtney Chapman,Frontend,EMEA,E-commerce,15,49,47,50,66,61,Partially committed,1
Eric Barker,Data / Database,EMEA,Government,7,21,50,25,61,71,Available,0
Nicholas Rush,Frontend,Americas,FinTech,11,53,28,39,75,99,Available,0
Jenna Gamble,Frontend,Americas,Government,6,36,36,53,78,53,Available,0
Amanda Guzman,Backend,Americas,Gaming,16,67,75,70,85,22,Available,0
Tracy Walker,Frontend,Americas,EdTech,8,37,56,52,75,84,Available,0
Taylor Taylor,DevOps,APAC,Gaming,10,41,61,67,20,22,Available,0
Cynthia Haas,Cloud,Americas,SaaS,3,12,34,24,75,48,Partially committed,3
Stephen Davis,Frontend,APAC,Telecom,10,41,47,69,21,58,Partially committed,4
Margaret Tanner,Frontend,Americas,FinTech,3,2,48,13,82,47,Available,0
Derek Wright,Networking,APAC,Gaming,5,18,58,20,45,60,Available,0
David Rodriguez,Frontend,Americas,FinTech,12,65,18,33,72,50,Partially committed,2
James Oconnor,Backend,EMEA,Media,17,66,32,52,54,84,Partially committed,1
Stacey Snyder,Data / Database,Americas,Government,16,59,68,47,87,6,Available,0
Joshua Garcia,Networking,Americas,Telecom,13,31,42,48,87,61,Partially committed,3
Sean Curtis,Networking,Americas,Other,9,49,31,53,77,38,Partially committed,2
Carla Jones,Cloud,EMEA,Healthcare,12,50,26,33,61,45,Partially committed,2
Elizabeth Flores,Backend,APAC,SaaS,2,27,24,33,32,74,Partially committed,3
Angela Jackson,Cloud,APAC,EdTech,19,80,33,60,23,61,Partially committed,1
Nicholas Payne,Backend,EMEA,E-commerce,14,68,76,34,41,60,Partially committed,3
Anna Wheeler,Backend,Americas,Logistics,14,46,46,34,71,32,Available,0
Karen Johnson,DevOps,Americas,Logistics,10,51,41,39,89,80,Available,0
Carmen Preston,Cloud,Americas,Healthcare,9,54,49,72,96,38,Partially committed,2
Brian Harris,Frontend,APAC,Government,1,9,45,32,28,91,Available,0
Michael Bowen,Frontend,APAC,SaaS,6,45,51,57,42,44,Available,0
Deborah Campbell,Networking,EMEA,FinTech,10,36,57,22,54,79,Partially committed,3
Anthony Armstrong,AI / ML,EMEA,EdTech,3,30,24,57,44,62,Partially committed,4
Brittany Ward,DevOps,APAC,Government,10,44,38,65,26,23,Available,0
Edward Stanley,Data / Database,Americas,Government,15,86,59,40,97,42,Available,0
Christina Johnson,AI / ML,Americas,Telecom,13,63,39,47,76,88,Available,0
Edgar Miller,Cloud,Americas,FinTech,12,39,44,51,81,74,Available,0
Elizabeth Sanders,DevOps,Americas,Other,14,61,53,65,94,45,Partially committed,2
Matthew Davis MD,Backend,EMEA,Logistics,16,78,60,54,66,77,Partially committed,1
Stephen Wood,Backend,EMEA,FinTech,15,68,23,55,58,58,Fully booked,11
Dennis Marshall,Data / Database,APAC,FinTech,11,51,54,42,33,89,Available,0
Derrick Brown,Backend,EMEA,Telecom,9,37,38,45,66,57,Available,0
Mary Miller,Backend,Americas,Government,11,64,54,74,85,48,Partially committed,4
Joshua Arellano,Data / Database,APAC,Government,14,58,58,43,41,74,Available,0
Kristen Randall,Frontend,EMEA,Media,10,68,64,73,62,58,Available,0
Jennifer Nichols,Networking,EMEA,FinTech,13,63,64,45,54,65,Fully booked,9
Karen Keith,Frontend,EMEA,Logistics,15,71,67,49,59,35,Partially committed,3
Blake Orr,Data / Database,EMEA,E-commerce,10,39,62,56,51,81,Available,0
Kathryn Lester,Cloud,EMEA,Government,17,76,54,76,45,71,Partially committed,1
Megan Oliver,Data / Database,Americas,SaaS,9,54,41,64,71,82,Available,0
Peter Thompson,Backend,Americas,SaaS,18,92,64,52,80,21,Fully booked,5
Dr. Rhonda Martinez,Data / Database,Americas,EdTech,8,36,50,37,85,35,Partially committed,4
William Graham,AI / ML,EMEA,FinTech,19,85,48,79,73,35,Available,0
Lori Flowers MD,Other,APAC,EdTech,11,54,49,53,32,50,Available,0
Suzanne Jones,DevOps,Americas,Telecom,7,37,38,28,84,32,Partially committed,3
James Nguyen,Networking,Americas,Other,10,40,30,52,81,70,Available,0
Jimmy Marks,Frontend,EMEA,Logistics,9,44,58,37,51,48,Partially committed,4
Lisa Mills,AI / ML,APAC,FinTech,13,58,46,79,29,79,Fully booked,11
Jason Hernandez,Other,Americas,Logistics,18,60,80,77,79,96,Partially committed,2
Olivia Ayers,DevOps,Americas,Media,6,39,14,53,79,46,Partially committed,1
Kristine Garcia,Cloud,APAC,Gaming,7,50,31,69,36,41,Available,0
Joseph Cooper,Data / Database,EMEA,Gaming,22,93,57,72,46,63,Available,0
James Washington,Backend,APAC,FinTech,17,85,67,78,26,52,Partially committed,4
Amanda Hill,AI / ML,EMEA,Media,12,59,50,75,48,62,Available,0
Lee Steele,DevOps,Americas,SaaS,10,51,46,54,83,82,Available,0
Steve Rivera,DevOps,APAC,FinTech,11,52,28,48,37,50,Available,0
Patrick Mccall,Cloud,APAC,EdTech,17,62,34,32,31,32,Available,0
Alicia Roth,AI / ML,Americas,EdTech,8,30,44,39,80,35,Available,0
Douglas Vasquez,Cloud,Americas,Other,12,45,25,59,91,53,Partially committed,2
Annette Melton,Backend,EMEA,SaaS,1,17,24,47,64,55,Available,0
William Ramos,Data / Database,Americas,Logistics,11,58,50,61,82,72,Available,0
Debra Butler,Other,Americas,E-commerce,8,63,26,49,98,81,Available,0
Chelsea Lewis,DevOps,APAC,EdTech,7,40,61,17,32,85,Available,0
Natalie Malone,AI / ML,EMEA,Logistics,20,81,71,59,59,36,Partially committed,3
Samantha Robertson,Networking,Americas,Gaming,7,25,16,33,70,44,Available,0
Eric Hunter,Cloud,APAC,Gaming,4,21,22,31,11,25,Available,0
Samuel Suarez,Backend,Americas,Telecom,12,54,12,61,83,55,Available,0
Corey Whitaker,Backend,Americas,Media,14,71,36,88,92,70,Fully booked,16
Danielle Bryant,DevOps,Americas,Media,19,84,64,69,85,36,Partially committed,2
Michele Hill,Data / Database,Americas,Healthcare,11,41,37,42,92,28,Available,0
Kathy Reid,Networking,EMEA,Other,13,72,52,57,51,90,Available,0
Andre Watson,Networking,APAC,Gaming,12,49,23,51,29,42,Available,0
Cassandra Harrell,Backend,APAC,SaaS,12,47,56,37,28,54,Available,0
Hannah Martin,Cloud,Americas,Government,14,68,39,61,64,43,Partially committed,3
Nicole Barker,Data / Database,APAC,E-commerce,15,63,49,63,46,27,Available,0
James Martin,Backend,Americas,Telecom,10,18,40,37,94,80,Partially committed,1
Traci Vincent,Data / Database,APAC,Other,17,80,33,71,37,16,Available,0
Megan Adams,AI / ML,EMEA,Logistics,18,78,35,70,68,73,Available,0
Alejandro Deleon,Backend,EMEA,SaaS,7,37,52,19,50,64,Partially committed,2
Alexa Buck,Backend,APAC,Telecom,13,58,51,63,36,49,Available,0
Lindsay Smith,Backend,Americas,Telecom,14,60,62,46,77,49,Partially committed,2
Robert Torres,Backend,Americas,Logistics,13,55,50,37,83,64,Partially committed,3
Maria Coleman,DevOps,Americas,Gaming,7,39,40,29,65,45,Partially committed,4
Gregory King,Frontend,Americas,Telecom,9,37,16,49,81,62,Available,0
Michael Holloway,Networking,EMEA,Logistics,14,49,43,47,40,38,Available,0
Brian Hunt,Backend,Americas,Telecom,17,73,50,38,69,9,Partially committed,3
Sarah Brooks,DevOps,Americas,Other,15,61,76,62,81,66,Available,0
Lisa Evans,Frontend,Americas,E-commerce,9,43,50,26,75,99,Available,0
Arthur Mcneil,Other,Americas,Other,16,65,71,60,85,64,Available,0
Shannon Green,Data / Database,EMEA,Telecom,1,0,39,28,72,64,Available,0
Stephanie Evans,Networking,APAC,FinTech,14,73,37,74,22,44,Available,0
Ralph Yoder,Networking,APAC,Gaming,4,15,36,58,25,55,Partially committed,4
Rebekah Greene,Cloud,Americas,Healthcare,8,43,42,27,89,49,Partially committed,3
Melanie Griffith,Networking,Americas,FinTech,5,28,23,38,75,64,Available,0
Yolanda Green,Frontend,APAC,E-commerce,6,24,32,33,21,13,Partially committed,1
James Johnson,Cloud,EMEA,Logistics,17,73,47,68,51,0,Available,0
Laura Lee,Backend,EMEA,E-commerce,7,41,60,48,64,67,Available,0
Courtney Nichols,Networking,EMEA,Government,15,57,19,49,37,51,Available,0
Susan Powers,Other,EMEA,Government,12,49,61,43,47,36,Partially committed,4
Sarah Pittman,AI / ML,EMEA,Other,12,60,31,39,70,34,Available,0
Catherine Davis,Frontend,EMEA,Telecom,8,52,21,65,24,44,Available,0
David Stokes,Backend,EMEA,E-commerce,5,24,53,44,54,52,Partially committed,2
Catherine Frazier,Backend,EMEA,Other,15,70,58,73,70,81,Available,0
Brandon Kelly,Frontend,EMEA,Media,9,40,59,41,74,36,Partially committed,4
Elizabeth French,Frontend,Americas,Healthcare,3,19,45,25,90,77,Available,0
David Carter,Backend,EMEA,EdTech,5,41,65,31,67,69,Partially committed,3
Julie Delacruz,Other,Americas,Government,17,80,58,70,73,46,Partially committed,3
Terry Jones,DevOps,APAC,Gaming,14,67,45,44,19,68,Partially committed,4
Kathryn Dillon,DevOps,Americas,Healthcare,11,43,48,72,99,66,Partially committed,2
Edwin Brown,Data / Database,APAC,Logistics,8,43,57,28,25,32,Partially committed,1
Brenda Gonzalez,Cloud,Americas,E-commerce,13,44,35,51,63,45,Available,0
Keith Knox,Other,APAC,Gaming,17,92,41,93,32,56,Partially committed,2
Eugene Baldwin,DevOps,Americas,Other,15,58,44,62,80,43,Partially committed,4
Katherine Welch,Frontend,Americas,Telecom,13,59,16,57,83,67,Available,0
Mark Smith,Data / Database,APAC,FinTech,17,71,53,47,4,75,Partially committed,3
Philip Jackson,Other,EMEA,Healthcare,12,55,18,33,29,54,Available,0
Katherine Gallagher,Backend,EMEA,Gaming,12,45,45,58,58,45,Available,0
Lucas Schultz,DevOps,EMEA,SaaS,9,46,53,69,52,42,Available,0
Vincent Reyes,Frontend,EMEA,FinTech,9,49,34,43,50,49,Partially committed,2
Curtis Watson,Frontend,EMEA,Logistics,14,49,70,34,59,47,Available,0
Frank Whitaker,AI / ML,Americas,Telecom,14,65,26,23,74,71,Partially committed,3
Michael Sims,Backend,EMEA,FinTech,12,51,61,37,52,44,Available,0
Michael Cooper,Backend,Americas,EdTech,17,65,60,56,78,50,Partially committed,3
James Chapman,Backend,APAC,Telecom,9,48,16,72,37,72,Partially committed,2
